POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x0023EB70  ee_kernel_0048                                frame=  16  size=   48  calls= 1
  0x0023EBA0  ee_kernel_0049                                frame=  32  size=  192  calls= 3
  0x0023EC60  ee_kernel_0050                                frame=  16  size=   32  calls= 1
  0x0023EC80  ee_kernel_0051                                frame=   0  size=   64  calls= 0
  0x0023ECC0  ee_kernel_0052                                frame=   0  size=  144  calls= 0
  0x0023ED50  ee_kernel_0053                                frame=   0  size=   88  calls= 0
  0x0023EDA8  ee_kernel_0054                                frame=  64  size=  360  calls= 4
  0x0023EF10  ee_kernel_0055                                frame=  48  size=  424  calls= 4
  0x0023F0B8  ee_kernel_0056                                frame=  48  size=  272  calls= 4
  0x0023F1C8  ee_kernel_0057                                frame=  48  size=  288  calls= 3
  0x0023F2E8  ee_kernel_0058                                frame=  48  size= 1104  calls= 5
  0x0023F738  ee_kernel_0059                                frame=1264  size=  440  calls= 5
  0x0023F8F0  ee_kernel_0060                                frame=  32  size=  168  calls= 3
  0x0023F998  ee_kernel_0061                                frame=   0  size=   96  calls= 0
  0x0023F9F8  ee_kernel_0062                                frame=   0  size=  216  calls= 0
  0x0023FAD0  ee_kernel_0063                                frame=   0  size=  192  calls= 0
  0x0023FB90  ee_kernel_0064                                frame=   0  size=  288  calls= 0
  0x0023FCB0  ee_kernel_0065                                frame=  48  size=  184  calls= 1
  0x0023FD68  ee_kernel_0066                                frame=  16  size=   24  calls= 2
  0x0023FD80  ee_kernel_0067                                frame=  16  size=   56  calls= 1
  0x0023FDB8  ee_kernel_0068                                frame=  32  size=  160  calls= 1
  0x0023FE58  ee_kernel_0069                                frame=  16  size=   40  calls= 1
  0x0023FE80  ee_kernel_0070                                frame=  96  size=   88  calls= 1
  0x0023FED8  ee_kernel_0071                                frame=  32  size=  104  calls= 3
  0x0023FF40  ee_kernel_0072                                frame=  48  size=  456  calls= 5

==========================================================================================
 GPU - 6 functions (0x0020B788 - 0x0020BB68)
==========================================================================================

  0x0020B788  GPU_Init                                      frame=   0  size=   12  calls= 0
  0x0020B794  GPU_InitBody                                      frame=  16  size=  264  calls= 3
  0x0020B89C  GPU_GP1WriteHandler                                      frame=  32  size=  300  calls= 2
  0x0020B9C8  GPU_VBlankIRQCallback                                      frame=  16  size=   56  calls= 0
  0x0020BA00  GPU_GP0WriteHandler                                      frame=  16  size=  208  calls= 1
  0x0020BAD0  GPU_Reset                                      frame=  16  size=  152  calls= 2

==========================================================================================
 GTE - 79 functions (0x00215088 - 0x0021F870)
==========================================================================================

  0x00215088  GTE_Init                                      frame=   0  size=   72  calls= 0
  0x002150D0  gte_0001                                      frame=   0  size=    8  calls= 0
  0x002150D8  gte_0002                                      frame=   0  size=   24  calls= 0
  0x002150F0  gte_0003                                      frame=  16  size=  488  calls= 1
  0x002152D8  gte_0004                                      frame=  16  size=  864  calls= 0
  0x00215638  gte_0005                                      frame=   0  size=    4  calls= 0
  0x0021563C  gte_0006                                      frame=  16  size= 1572  calls= 0
  0x00215C60  gte_0007                                      frame=   0  size=    4  calls= 0
  0x00215C64  gte_0008                                      frame=  16  size= 1276  calls= 0
  0x00216160  gte_0009                                      frame=   0  size=    4  calls= 0
  0x00216164  gte_0010                                      frame=  16  size= 1260  calls= 0
  0x00216650  gte_0011                                      frame=  16  size=  824  calls= 0
  0x00216988  gte_0012                                      frame=  16  size=  104  calls= 0
  0x002169F0  gte_0013                                      frame=  16  size=  104  calls= 1
  0x00216A58  gte_0014                                      frame=  16  size=   72  calls= 0
  0x00216AA0  gte_0015                                      frame=  16  size=   88  calls= 1
  0x00216AF8  gte_0016                                      frame=  16  size=   72  calls= 0
